datetime,open,high,low,close,volume
2026-04-20 20:15:00,158.682,158.749,158.673,158.747,965
2026-04-20 20:30:00,158.748,158.763,158.684,158.686,1840
2026-04-20 20:45:00,158.685,158.751,158.685,158.749,599
2026-04-20 21:00:00,158.749,158.759,158.677,158.681,1469
2026-04-20 21:15:00,158.682,158.75,158.661,158.733,1566
2026-04-20 21:30:00,158.733,158.816,158.73,158.808,1419
2026-04-20 21:45:00,158.808,158.916,158.798,158.899,2482
2026-04-20 22:00:00,158.9,158.915,158.793,158.804,1250
2026-04-20 22:15:00,158.804,158.848,158.791,158.813,932
2026-04-20 22:30:00,158.812,158.841,158.803,158.817,883
2026-04-20 22:45:00,158.817,158.846,158.809,158.836,962
2026-04-20 23:00:00,158.836,158.873,158.827,158.852,751
2026-04-20 23:15:00,158.851,158.872,158.839,158.855,1333
2026-04-20 23:30:00,158.855,158.898,158.85,158.89,712
2026-04-20 23:45:00,158.891,158.897,158.752,158.752,1021
2026-04-21 00:00:00,158.722,158.722,158.638,158.717,12
2026-04-21 00:15:00,158.717,158.761,158.716,158.761,12
2026-04-21 00:30:00,158.761,158.762,158.696,158.759,52
2026-04-21 00:45:00,158.759,158.762,158.668,158.7,420
2026-04-21 01:00:00,158.724,158.794,158.707,158.785,236
2026-04-21 01:15:00,158.786,158.792,158.785,158.789,52
2026-04-21 01:30:00,158.789,158.806,158.787,158.804,1211
2026-04-21 01:45:00,158.804,158.804,158.762,158.764,3482
2026-04-21 02:00:00,158.765,158.822,158.75,158.818,887
2026-04-21 02:15:00,158.818,158.845,158.817,158.828,369
2026-04-21 02:30:00,158.829,158.857,158.814,158.816,374
2026-04-21 02:45:00,158.816,158.854,158.813,158.844,475
2026-04-21 03:00:00,158.844,158.913,158.828,158.875,1665
2026-04-21 03:15:00,158.875,158.943,158.866,158.94,889
2026-04-21 03:30:00,158.941,158.966,158.932,158.943,835
2026-04-21 03:45:00,158.944,158.986,158.908,158.944,1850
2026-04-21 04:00:00,158.945,158.968,158.931,158.957,1203
2026-04-21 04:15:00,158.956,158.959,158.905,158.923,920
2026-04-21 04:30:00,158.924,158.951,158.923,158.933,585
2026-04-21 04:45:00,158.932,158.97,158.929,158.944,1651
2026-04-21 05:00:00,158.943,158.983,158.942,158.954,666
2026-04-21 05:15:00,158.953,158.99,158.953,158.967,370
2026-04-21 05:30:00,158.969,158.983,158.934,158.934,579
2026-04-21 05:45:00,158.934,158.955,158.913,158.947,576
2026-04-21 06:00:00,158.946,158.954,158.924,158.941,640
2026-04-21 06:15:00,158.941,158.987,158.938,158.96,606
2026-04-21 06:30:00,158.96,158.979,158.96,158.964,650
2026-04-21 06:45:00,158.965,158.981,158.948,158.981,463
2026-04-21 07:00:00,158.981,158.983,158.967,158.973,332
2026-04-21 07:15:00,158.973,158.985,158.965,158.967,322
2026-04-21 07:30:00,158.967,158.984,158.965,158.975,658
2026-04-21 07:45:00,158.974,158.974,158.935,158.951,938
2026-04-21 08:00:00,158.951,158.953,158.888,158.899,662
2026-04-21 08:15:00,158.899,158.906,158.858,158.881,373
2026-04-21 08:30:00,158.881,158.894,158.841,158.853,558
2026-04-21 08:45:00,158.855,158.91,158.853,158.897,437
2026-04-21 09:00:00,158.897,158.903,158.818,158.874,1547
2026-04-21 09:15:00,158.873,158.908,158.842,158.874,1075
2026-04-21 09:30:00,158.875,158.892,158.821,158.827,1638
2026-04-21 09:45:00,158.828,158.853,158.787,158.808,1436
2026-04-21 10:00:00,158.808,158.9,158.793,158.876,1902
2026-04-21 10:15:00,158.875,158.953,158.842,158.908,1553
2026-04-21 10:30:00,158.907,158.957,158.898,158.933,1295
2026-04-21 10:45:00,158.932,159.015,158.885,159.015,1618
2026-04-21 11:00:00,159.014,159.172,159.01,159.168,2581
2026-04-21 11:15:00,159.168,159.207,159.104,159.193,1388
2026-04-21 11:30:00,159.193,159.207,159.114,159.135,1565
2026-04-21 11:45:00,159.135,159.187,159.129,159.167,1000
2026-04-21 12:00:00,159.168,159.249,159.168,159.219,1475
2026-04-21 12:15:00,159.219,159.228,159.098,159.166,1469
2026-04-21 12:30:00,159.167,159.177,159.145,159.165,683
2026-04-21 12:45:00,159.165,159.2,159.146,159.194,892
2026-04-21 13:00:00,159.194,159.225,159.183,159.208,979
2026-04-21 13:15:00,159.208,159.214,159.18,159.195,777
2026-04-21 13:30:00,159.194,159.2,159.179,159.189,529
2026-04-21 13:45:00,159.189,159.199,159.181,159.186,733
2026-04-21 14:00:00,159.185,159.243,159.18,159.223,1682
2026-04-21 14:15:00,159.222,159.23,159.169,159.172,1093
2026-04-21 14:30:00,159.172,159.177,159.129,159.17,682
2026-04-21 14:45:00,159.168,159.173,159.031,159.038,1573
2026-04-21 15:00:00,159.038,159.079,159.01,159.021,1622
2026-04-21 15:15:00,159.02,159.134,159.019,159.129,1066
2026-04-21 15:30:00,159.127,159.237,159.127,159.188,2696
2026-04-21 15:45:00,159.189,159.211,159.125,159.171,1877
2026-04-21 16:00:00,159.171,159.19,159.121,159.159,1560
2026-04-21 16:15:00,159.158,159.159,159.051,159.061,1493
2026-04-21 16:30:00,159.063,159.085,159.034,159.06,1343
2026-04-21 16:45:00,159.06,159.088,159.009,159.082,1416
2026-04-21 17:00:00,159.082,159.131,159.056,159.071,1594
2026-04-21 17:15:00,159.072,159.157,159.062,159.146,1785
2026-04-21 17:30:00,159.146,159.158,159.034,159.089,2896
2026-04-21 17:45:00,159.089,159.378,159.089,159.371,4388
2026-04-21 18:00:00,159.37,159.403,159.276,159.299,3229
2026-04-21 18:15:00,159.299,159.409,159.288,159.408,2186
2026-04-21 18:30:00,159.409,159.436,159.372,159.416,2344
2026-04-21 18:45:00,159.417,159.428,159.372,159.39,1889
2026-04-21 19:00:00,159.39,159.411,159.339,159.403,2439
2026-04-21 19:15:00,159.404,159.442,159.397,159.439,1266
2026-04-21 19:30:00,159.439,159.491,159.413,159.473,1137
2026-04-21 19:45:00,159.474,159.498,159.445,159.459,1223
2026-04-21 20:00:00,159.459,159.591,159.455,159.584,2394
2026-04-21 20:15:00,159.583,159.609,159.489,159.489,1787
2026-04-21 20:30:00,159.489,159.489,159.159,159.181,4100
2026-04-21 20:45:00,159.181,159.361,159.178,159.316,2187
2026-04-21 21:00:00,159.316,159.371,159.276,159.362,1772
2026-04-21 21:15:00,159.362,159.487,159.351,159.438,2625
2026-04-21 21:30:00,159.437,159.467,159.387,159.445,1506
2026-04-21 21:45:00,159.446,159.469,159.312,159.365,2815
2026-04-21 22:00:00,159.364,159.365,159.223,159.3,2947
2026-04-21 22:15:00,159.3,159.354,159.223,159.237,2955
2026-04-21 22:30:00,159.236,159.627,159.234,159.575,3987
2026-04-21 22:45:00,159.575,159.632,159.501,159.602,2493
2026-04-21 23:00:00,159.602,159.63,159.322,159.363,3788
2026-04-21 23:15:00,159.362,159.4,159.287,159.331,1826
2026-04-21 23:30:00,159.329,159.356,159.311,159.346,861
2026-04-21 23:45:00,159.347,159.415,159.346,159.351,638
2026-04-22 00:00:00,159.322,159.347,159.28,159.313,44
2026-04-22 00:15:00,159.317,159.398,159.317,159.387,3128
2026-04-22 00:30:00,159.388,159.391,159.314,159.323,90
2026-04-22 00:45:00,159.323,159.394,159.323,159.357,555
2026-04-22 01:00:00,159.357,159.407,159.327,159.373,225
2026-04-22 01:15:00,159.373,159.4,159.355,159.397,355
2026-04-22 01:30:00,159.396,159.412,159.374,159.401,2794
2026-04-22 01:45:00,159.401,159.412,159.396,159.408,2075
2026-04-22 02:00:00,159.408,159.45,159.394,159.435,404
2026-04-22 02:15:00,159.436,159.449,159.383,159.4,674
2026-04-22 02:30:00,159.4,159.431,159.396,159.412,453
2026-04-22 02:45:00,159.412,159.424,159.354,159.373,1197
2026-04-22 03:00:00,159.374,159.375,159.243,159.283,1851
2026-04-22 03:15:00,159.284,159.34,159.247,159.323,1772
2026-04-22 03:30:00,159.322,159.323,159.244,159.264,1362
2026-04-22 03:45:00,159.269,159.297,159.165,159.284,2979
