entry,sl,tp,invalidation,dir,t_open,exit_time,exit_px,close_kind,R,sim_pnl_usd
1.34068,1.34068,1.34365,1.34082,buy,2026-05-19 09:00:00,2026-05-19 09:15:00,1.34068,SL,0.0,0.0
1.3388,1.3384879218747805,1.34365,1.33864,buy,2026-05-19 17:00:00,2026-05-19 17:15:00,1.3384879218747805,SL,-1.0,-0.31207812521949485
1.34687,1.3463179218747805,1.34799,1.34647,buy,2026-06-02 22:15:00,2026-06-02 23:30:00,1.34666,INVALIDATE,-0.3803809468389007,-0.21000000000004349
1.34235,1.3429220781252196,1.3406,1.34277,sell,2026-06-04 04:15:00,2026-06-04 07:30:00,1.3429220781252196,SL,-1.0,-0.5720781252196439
1.34357,1.3430679218747805,1.34594,1.34322,buy,2026-06-15 18:00:00,2026-06-15 18:30:00,1.3430679218747805,SL,-1.0,-0.5020781252194073
1.34223,1.3420279218747804,1.34307,1.34218,buy,2026-06-16 14:00:00,2026-06-16 14:15:00,1.3420279218747804,SL,-1.0,-0.2020781252196624
1.32237,1.3219379218747804,1.32374,1.32209,buy,2026-06-30 16:30:00,2026-06-30 16:45:00,1.3219379218747804,SL,-1.0,-0.43207812521961486
1.32459,1.32459,1.32761,1.32467,buy,2026-07-01 11:45:00,2026-07-01 12:00:00,1.32459,SL,0.0,0.0
1.3338,1.3332179218747804,1.33532,1.33337,buy,2026-07-06 12:30:00,2026-07-06 12:45:00,1.3332179218747804,SL,-1.0,-0.5820781252197094
1.33742,1.3372779218747803,1.33919,1.33743,buy,2026-07-07 18:00:00,2026-07-07 18:15:00,1.3372779218747803,SL,-1.0,-0.1420781252197134
1.33563,1.3362020781252195,1.33382,1.33605,sell,2026-07-14 09:30:00,2026-07-14 09:45:00,1.33555,INVALIDATE,0.13984104001423903,0.08000000000008001
1.34625,1.3468820781252195,1.3431,1.34673,sell,2026-07-20 10:00:00,2026-07-20 10:15:00,1.3468820781252195,SL,-1.0,-0.6320781252195928
1.3389,1.3390620781252196,1.3354,1.33891,sell,2026-07-23 06:15:00,2026-07-23 07:00:00,1.3390620781252196,SL,-1.0,-0.1620781252196224
1.3294,1.3295520781252195,1.32837,1.3294,sell,2026-07-28 05:00:00,2026-07-28 05:30:00,1.32936,INVALIDATE,0.26302270587613774,0.03999999999981796
1.33446,1.3340779218747805,1.33748,1.33423,buy,2026-07-30 06:45:00,2026-07-30 09:00:00,1.3340779218747805,SL,-1.0,-0.38207812521950935
1.34625,1.3461379218747804,1.34717,1.34629,buy,2026-08-06 15:00:00,2026-08-06 15:15:00,1.34681,INVALIDATE,4.996514698147356,0.560000000000116
1.3492,1.3492,1.3503,1.3491,buy,2026-08-10 09:30:00,2026-08-10 11:00:00,1.3503,TP,0.0,1.100000000000101
1.35433,1.3537579218747804,1.35612,1.35391,buy,2026-08-17 02:15:00,2026-08-17 02:30:00,1.35443,INVALIDATE,0.17480130001753685,0.09999999999998899
1.35488,1.3552020781252196,1.35431,1.35505,sell,2026-09-01 04:30:00,2026-09-01 04:45:00,1.35431,TP,1.7697569482920115,0.5700000000001815
1.35144,1.35144,1.35056,1.35162,sell,2026-09-02 01:45:00,2026-09-02 04:00:00,1.35056,TP,0.0,0.8799999999999919
1.34868,1.3492620781252196,1.3474,1.34911,sell,2026-09-02 20:45:00,2026-09-02 21:00:00,1.34861,INVALIDATE,0.12025877106036105,0.0700000000000145
1.34942,1.34942,1.34779,1.34961,sell,2026-09-03 08:15:00,2026-09-03 09:45:00,1.34942,SL,0.0,0.0
1.3476,1.3480620781252195,1.34633,1.34791,sell,2026-09-15 19:30:00,2026-09-15 19:45:00,1.3480620781252195,SL,-1.0,-0.46207812521958935
