entry,sl,tp,invalidation,dir,t_open,exit_time,exit_px,close_kind,R,sim_pnl_usd
1.37566,1.37566,1.37603,1.37571,buy,2026-05-20 09:15:00,2026-05-20 09:30:00,1.37566,SL,0.0,0.0
1.37969,1.379321538987058,1.38064,1.37944,buy,2026-05-22 16:45:00,2026-05-22 17:00:00,1.38064,TP,2.578291777504989,0.9500000000000064
1.38029,1.38029,1.38135,1.38036,buy,2026-05-25 03:45:00,2026-05-25 04:00:00,1.38029,SL,0.0,0.0
1.38044,1.3801915389870578,1.38174,1.38031,buy,2026-05-25 17:00:00,2026-05-25 17:15:00,1.3801915389870578,SL,-1.0,-0.24846101294206946
1.38262,1.38262,1.38692,1.38266,buy,2026-06-02 17:30:00,2026-06-02 17:45:00,1.38262,SL,0.0,0.0
1.38996,1.389661538987058,1.39043,1.38978,buy,2026-06-04 20:30:00,2026-06-04 20:45:00,1.39004,INVALIDATE,0.26804170907024794,0.07999999999985796
1.39417,1.393941538987058,1.39557,1.39406,buy,2026-06-10 23:15:00,2026-06-10 23:30:00,1.39434,INVALIDATE,0.7441094557486166,0.17000000000000348
1.42089,1.420381538987058,1.42177,1.4205,buy,2026-07-06 09:00:00,2026-07-06 09:45:00,1.42177,TP,1.7307128326481531,0.8799999999999919
1.42002,1.420388461012942,1.41813,1.42027,sell,2026-07-08 02:00:00,2026-07-08 02:15:00,1.41994,INVALIDATE,0.217119307579714,0.08000000000008001
1.41401,1.414388461012942,1.41303,1.41427,sell,2026-07-13 18:30:00,2026-07-13 19:00:00,1.41388,INVALIDATE,0.34349641192730984,0.12999999999996348
1.40095,1.40095,1.40031,1.40089,sell,2026-07-20 09:15:00,2026-07-20 09:30:00,1.40095,SL,0.0,0.0
1.40696,1.4067715389870579,1.40804,1.40689,buy,2026-07-21 09:15:00,2026-07-21 09:30:00,1.4067715389870579,SL,-1.0,-0.18846101294212048
1.40597,1.405591538987058,1.40804,1.40571,buy,2026-07-21 13:45:00,2026-07-21 14:00:00,1.40601,INVALIDATE,0.10569120367007688,0.040000000000040004
1.41031,1.409831538987058,1.41104,1.40995,buy,2026-07-22 04:45:00,2026-07-22 09:00:00,1.409831538987058,SL,-1.0,-0.4784610129420219
1.40986,1.4097115389870578,1.4106,1.40983,buy,2026-07-22 13:30:00,2026-07-22 14:00:00,1.4097115389870578,SL,-1.0,-0.14846101294208047
1.40513,1.405448461012942,1.40302,1.40533,sell,2026-07-30 08:30:00,2026-07-30 08:45:00,1.40522,INVALIDATE,-0.28260916200844677,-0.08999999999992347
1.40047,1.400808461012942,1.39901,1.40069,sell,2026-07-31 01:45:00,2026-07-31 02:00:00,1.40076,INVALIDATE,-0.8568195121770289,-0.28999999999990145
1.40112,1.4012884610129421,1.40016,1.40117,sell,2026-07-31 03:30:00,2026-07-31 03:45:00,1.4012884610129421,SL,-1.0,-0.1684610129422115
1.4018,1.402258461012942,1.40086,1.40214,sell,2026-07-31 20:45:00,2026-07-31 21:00:00,1.402258461012942,SL,-1.0,-0.45846101294211294
1.40663,1.406201538987058,1.40781,1.40632,buy,2026-08-05 13:30:00,2026-08-05 14:00:00,1.406201538987058,SL,-1.0,-0.42846101294213845
1.4014,1.4018284610129421,1.39897,1.40171,sell,2026-08-06 21:15:00,2026-08-06 21:30:00,1.4014,INVALIDATE,0.0,0.0
1.40149,1.401648461012942,1.40117,1.40153,sell,2026-08-07 04:45:00,2026-08-07 05:00:00,1.40163,INVALIDATE,-0.8834980756505886,-0.140000000000029
1.4018,1.4020384610129422,1.39897,1.40192,sell,2026-08-07 07:00:00,2026-08-07 07:15:00,1.40178,INVALIDATE,0.0838711525760169,0.01999999999990898
1.39397,1.3940784610129422,1.39301,1.39396,sell,2026-08-10 11:30:00,2026-08-10 11:45:00,1.39396,INVALIDATE,0.09219902828278773,0.009999999999843467
1.39297,1.3931984610129422,1.39178,1.39308,sell,2026-08-12 09:15:00,2026-08-12 09:30:00,1.39298,INVALIDATE,-0.0437711444560443,-0.010000000000065512
1.3766,1.376898461012942,1.37315,1.37678,sell,2026-08-21 19:00:00,2026-08-21 19:15:00,1.376898461012942,SL,-1.0,-0.29846101294195293
1.38896,1.38896,1.3907,1.38881,buy,2026-08-31 07:30:00,2026-08-31 13:00:00,1.38896,SL,0.0,0.0
1.391,1.3907615389870578,1.3929,1.39088,buy,2026-09-15 05:30:00,2026-09-15 05:45:00,1.3907615389870578,SL,-1.0,-0.238461012942226
