entry,sl,tp,invalidation,dir,t_open,exit_time,exit_px,close_kind,R,sim_pnl_usd
158.835,158.835,159.067,158.784,buy,2026-05-18 17:45:00,2026-05-18 21:45:00,159.067,TP,0.0,231.99999999999932
159.028,158.93375741896907,159.245,158.957,buy,2026-05-20 04:30:00,2026-05-20 05:00:00,158.997,INVALIDATE,-0.3289383595065669,-30.99999999997749
159.128,159.08875741896907,159.343,159.112,buy,2026-05-22 14:15:00,2026-05-22 15:00:00,159.08875741896907,SL,-1.0,-39.242581030919155
159.352,159.28775741896908,159.486,159.311,buy,2026-05-29 06:45:00,2026-05-29 07:00:00,159.342,INVALIDATE,-0.1556599974583391,-9.999999999990905
160.139,160.05975741896907,160.325,160.083,buy,2026-06-08 00:30:00,2026-06-08 01:00:00,160.325,TP,2.3472228892614746,185.9999999999786
160.505,160.46475741896907,160.583,160.488,buy,2026-06-11 17:30:00,2026-06-11 17:45:00,160.5,INVALIDATE,-0.12424650387491952,-4.9999999999954525
160.069,160.11224258103093,159.879,160.089,sell,2026-06-15 10:30:00,2026-06-15 10:45:00,160.11224258103093,SL,-1.0,-43.242581030938254
161.202,161.14475741896908,161.41,161.168,buy,2026-06-19 05:00:00,2026-06-19 05:15:00,161.14475741896908,SL,-1.0,-57.24258103091984
161.689,161.62475741896907,161.922,161.648,buy,2026-06-23 09:30:00,2026-06-23 09:45:00,161.638,INVALIDATE,-0.7938659870380603,-50.99999999998772
161.761,161.71975741896907,161.922,161.743,buy,2026-06-25 01:00:00,2026-06-25 01:15:00,161.75,INVALIDATE,-0.26671463630626174,-10.99999999999568
162.342,162.33075741896909,162.603,162.354,buy,2026-07-09 10:30:00,2026-07-09 10:45:00,162.33075741896909,SL,-1.0,-11.242581030927568
161.721,161.721,161.404,161.703,sell,2026-07-10 11:15:00,2026-07-10 11:30:00,161.721,SL,0.0,0.0
161.824,161.87724258103094,161.536,161.854,sell,2026-07-10 15:15:00,2026-07-10 15:30:00,161.87724258103094,SL,-1.0,-53.24258103092916
162.137,162.18424258103093,162.022,162.161,sell,2026-07-16 12:15:00,2026-07-16 12:30:00,162.18424258103093,SL,-1.0,-47.24258103092893
162.414,162.37175741896908,162.514,162.395,buy,2026-07-17 23:30:00,2026-07-17 23:45:00,162.37175741896908,SL,-1.0,-42.24258103090506
163.703,163.703,163.862,163.645,buy,2026-07-24 18:45:00,2026-07-27 00:00:00,163.703,SL,0.0,0.0
163.558,163.49075741896908,163.701,163.514,buy,2026-07-27 04:00:00,2026-07-27 04:30:00,163.546,INVALIDATE,-0.17845834910001707,-12.000000000000455
163.755,163.68475741896907,163.873,163.708,buy,2026-07-28 06:45:00,2026-07-28 09:00:00,163.688,INVALIDATE,-0.9538373877592823,-67.00000000000728
163.696,163.60175741896907,163.943,163.625,buy,2026-07-30 10:30:00,2026-07-30 10:45:00,163.725,INVALIDATE,0.30771652986116677,28.999999999996362
159.179,159.26924258103094,159.0,159.246,sell,2026-08-11 14:15:00,2026-08-11 15:00:00,159.26924258103094,SL,-1.0,-90.24258103093528
159.376,159.40524258103093,159.304,159.382,sell,2026-08-12 09:45:00,2026-08-12 10:00:00,159.384,INVALIDATE,-0.2735736627187662,-7.999999999981355
159.408,159.45324258103093,158.645,159.43,sell,2026-08-14 03:30:00,2026-08-14 03:45:00,159.367,INVALIDATE,0.9062259284445137,40.99999999999682
158.995,159.05524258103094,158.155,159.032,sell,2026-08-21 22:45:00,2026-08-24 10:00:00,159.05524258103094,SL,-1.0,-60.24258103093416
159.622,159.71224258103092,159.396,159.689,sell,2026-08-31 10:30:00,2026-08-31 10:45:00,159.572,INVALIDATE,0.5540621669817604,50.00000000001137
159.874,159.91424258103092,159.628,159.891,sell,2026-09-01 08:45:00,2026-09-01 09:00:00,159.91424258103092,SL,-1.0,-40.24258103092393
160.132,160.21724258103092,160.0,160.194,sell,2026-09-02 00:00:00,2026-09-02 01:30:00,160.186,INVALIDATE,-0.63348621483458,-54.000000000002046
153.732,153.79024258103092,153.285,153.767,sell,2026-09-14 04:45:00,2026-09-14 05:00:00,153.79024258103092,SL,-1.0,-58.24258103092461
