feature,rf_imp,lgbm_imp,logreg_imp,is_noise,avg_imp,rf_vote,lgbm_vote,logreg_vote,total_votes
deviation_sum_24h,0.01722203496651437,1844,0.013540589088647506,False,1106.4065206693988,1,1,0,2
d1_rsi,0.01735842283281215,1842,0.025805784787600223,False,1105.2077881053285,1,1,0,2
hours_since_last_high,0.016113717587890528,1809,0.025209950483004808,False,1085.4073551103247,1,1,0,2
rolling_std_50,0.01703679140800794,1798,0.02497614587384561,False,1078.8076086520098,1,1,0,2
noise_random_walk,0.018639396421897526,1761,0.08330928022909502,True,1056.6139227469494,1,1,1,3
adx_14,0.01805253912645665,1669,0.004621372628340522,False,1001.4058778990008,1,1,0,2
obv,0.018869993959333593,1567,0.09672163663290598,False,940.2153331618509,1,1,1,3
high_events_next_24h,0.011876252988986032,1533,0.010817742646096598,False,919.8046446501613,1,1,0,2
d1_close_vs_ema20,0.015571780613953914,1499,0.0869012159342582,False,899.4133616557776,1,1,1,3
close_vs_ema200,0.017010905131414632,1479,0.031413592820674865,False,887.4082446308214,1,1,0,2
atr_regime,0.020854743753066292,1464,0.058322391728559624,False,878.4120886622987,1,1,1,3
rolling_std_10,0.013257168848360612,1319,0.04509316034189424,False,791.4084864666886,1,1,1,3
minus_di,0.014003084478279545,1281,0.08851119366925268,False,768.6130520447105,1,1,1,3
atr_lag_5,0.0137931749088433,1253,0.1064946609222748,False,751.8147874185648,1,1,1,3
noise_gaussian_1,0.010382571795643633,1194,0.020285721291682393,True,716.4051433436678,1,1,0,2
rsi_lag_5,0.012636678530422744,1189,0.02943018406994362,False,713.4067340219661,1,1,0,2
noise_sinusoidal,0.012620542938079404,1185,0.06788705685814665,True,711.0105748685672,1,1,1,3
plus_di,0.01351695999979826,1174,0.0710076526352022,False,704.4111558532635,1,1,1,3
noise_uniform_2,0.010090128989102972,1163,0.021255011811070822,True,697.8051525398778,0,1,0,1
close_vs_day_open,0.013947852169526247,1158,0.1133890462402301,False,694.8155232602749,1,1,1,3
noise_gaussian_3,0.010283469653747223,1136,0.004574074006182854,True,681.6035424482968,0,1,0,1
close_vs_ema50,0.013730121309502262,1108,0.11496274102724871,False,664.8156153104954,1,1,1,3
volume_ratio,0.01213865708930902,1095,0.027336680099710086,False,657.0063752651369,1,1,0,2
macd_sig,0.015126377224878643,1084,0.06329421143157844,False,650.4108673343106,1,1,1,3
lower_wick,0.009556395632242127,1083,0.002653316524361703,False,649.8031322503421,0,1,0,1
noise_uniform_1,0.010275779731196946,1076,0.000800250655730946,True,645.6031627589849,0,1,0,1
macd_hist_slope,0.01102556539984089,1071,0.04494970943010593,False,642.607802640563,1,1,1,3
volume_lag_5,0.01234078967165891,1068,0.05917532397385389,False,640.8096197692988,1,1,1,3
noise_gaussian_2,0.010090814092598259,1060,0.011112604759689226,True,636.0041385047037,0,1,0,1
volume_lag_1,0.011613518503962531,1053,0.02421865344801486,False,631.805905920896,1,1,0,2
macd_hist,0.012764166231806012,1051,0.04927410722648879,False,630.6087566605922,1,1,1,3
bb_width,0.01386351699343799,1010,0.2945180440594436,False,606.033610859504,1,1,1,3
volume_lag_2,0.011826011774205305,1004,0.005571427962169098,False,602.4041049463284,1,1,0,2
rsi_lag_3,0.01218902208228327,982,0.02754582594849229,False,589.2064112892195,1,1,0,2
return_5b,0.011625256648232909,975,0.02476938032235155,False,585.0059645150267,1,1,0,2
upper_wick,0.009384396292371833,969,0.03730325374718437,False,581.4065456442623,0,1,1,2
volume_lag_3,0.011658705284281614,968,0.05451178565479312,False,580.8089487901508,1,1,1,3
macd,0.015050905125607054,967,0.07629269540503714,False,580.2121445410781,1,1,1,3
rsi_lag_2,0.011231534734670014,953,0.0397733512372652,False,571.807346795544,1,1,1,3
stoch_d,0.012474312701666981,941,0.1698921079445672,False,564.620731504605,1,1,1,3
d1_ema50,0.013296060918670357,930,0.1838662008468703,False,558.0223754383603,1,1,1,3
price_range,0.01013479675724901,917,0.02335448056931199,False,550.205375887084,0,1,0,1
atr_lag_3,0.013148856038125684,914,0.24084572782955063,False,548.4280292295944,1,1,1,3
atr_14,0.011975911007981288,904,0.19888185290292335,False,542.4234809585927,1,1,1,3
rolling_std_20,0.013965396159396258,883,0.3772815931289804,False,529.8419177781607,1,1,1,3
return_1b,0.010193542456997606,868,0.01872650108705308,False,520.8049307128457,0,1,0,1
rsi_lag_1,0.01108642789081854,867,0.1300999744853033,False,520.2163359258157,1,1,1,3
body_ratio,0.009788955676977197,857,0.01898545925905093,False,514.2048352326289,0,1,0,1
rsi_14,0.011116540097309205,829,0.032301577327426056,False,497.4065651197619,1,1,0,2
atr_lag_2,0.012531014146753098,747,0.05363179355747173,False,448.20912248359974,1,1,1,3
body_size,0.00881215751438711,714,0.013269445673287023,False,428.40397059182163,0,1,0,1
atr_lag_1,0.011334046140692153,705,0.16649182110234256,False,423.02004939595247,1,1,1,3
cci_20,0.011026338285582176,701,0.03620445976558481,False,420.6069283474622,1,1,1,3
roc_10,0.010666634443247636,680,0.33994969297049765,False,408.03719495963,1,1,1,3
bb_pct,0.011070128271281066,663,0.021065177421960384,False,397.8054275562236,1,0,0,1
stoch_k,0.011484351595238914,662,0.0036156896275612274,False,397.20380687444134,1,0,0,1
month,0.007484613642192032,655,0.04013387625135537,False,393.0062587717178,0,0,1,1
high_events_next_4h,0.00699984710161184,632,0.023965745123220528,False,379.2044965286428,0,0,0,0
d1_ema20,0.011665778255150146,609,0.3347021207833888,False,365.43696994555484,1,0,1,2
ema_200,0.012138339713238388,508,0.06134533044938065,False,304.80977603495893,1,0,1,2
noise_poisson_2,0.0046812607756929105,463,0.010049224692091636,True,277.802409300702,0,0,0,0
hour_cos,0.006878111183743257,455,0.05206163870594285,False,273.00726959722573,0,0,1,1
ema_100,0.011973442636886628,449,0.031837220760791624,False,269.4067757548671,1,0,0,1
momentum_10,0.009900300007481806,420,0.7613290961130533,False,252.07910299961355,0,0,1,1
williams_r,0.010928924581018257,418,0.003615689627559759,False,250.80364024633704,1,0,0,1
sma_10,0.010362864583322993,397,0.14553171513599228,False,238.2176620308886,0,0,1,1
sma_50,0.010723739837914019,391,0.15333807499348123,False,234.61855092945072,1,0,1,2
hour_sin,0.006079283964836624,369,0.06736897799455391,False,221.4085606829889,0,0,1,1
dow_sin,0.005105465118908817,360,0.03888079335558272,False,216.00541971887122,0,0,1,1
noise_poisson_1,0.00337134561049929,328,0.0016251856024965456,True,196.80117392224338,0,0,0,0
hour,0.008581885816047246,327,0.019038089065543884,False,196.20447837465136,0,0,0,0
bb_upper,0.010820753342302444,323,0.08690156671978207,False,193.81193638267465,1,0,1,2
bb_lower,0.009936182292046406,320,0.11075299243396439,False,192.01405615393102,0,0,1,1
day_of_week,0.004670921322813818,310,0.07605109362598765,False,186.00900638575945,0,0,1,1
sma_20,0.01012601912461615,300,0.09894915154242406,False,180.01293272089163,0,0,1,1
close_lag_1,0.009930955160348502,292,0.03933564809882603,False,175.20691285135797,0,0,1,1
med_events_next_24h,0.011816753229445337,274,0.010817742646096598,False,164.40462680023344,1,0,0,1
high_events_next_1h,0.002308437450729692,268,0.012894184579177013,False,160.80198194969313,0,0,0,0
ema_50,0.010758315601917494,257,0.02567835447680389,False,154.20579533012824,1,0,0,1
dow_cos,0.0027590140827578294,222,0.008313949635643025,False,133.2016590991884,0,0,0,0
close_lag_5,0.00971528073432876,220,0.03366379106509659,False,132.00628096332682,0,0,1,1
close_lag_2,0.010060140026299859,217,0.04108541450836215,False,130.20712658345872,0,0,1,1
close_lag_3,0.009521472746558129,196,0.15588573649623813,False,117.61844501547358,0,0,1,1
ema_20,0.009943807030929412,150,0.03858592688438021,False,90.0068417347977,0,0,1,1
ema_10,0.010008234377723255,146,0.03995726751373387,False,87.60699819706468,0,0,1,1
d1_trend,0.0015556165339294234,142,0.010149199140775977,False,85.20148160487426,0,0,0,0
med_events_next_4h,0.0064715077102167375,114,0.023965745123220528,False,68.40433802682537,0,0,0,0
return_10b,0.010273989863711112,91,0.33994969297049504,False,54.63707716625616,0,0,1,1
is_fomc_day,0.0008669377052386068,76,0.043177038636536,False,45.60457778517523,0,0,1,1
session_london,0.002890573037739011,56,0.009998126383740433,False,33.6018669845497,0,0,0,0
session_overlap,0.0007145356767984523,52,0.11096863993758897,False,31.2113112246968,0,0,1,1
is_nfp_day,0.0007824351238850666,39,0.0327853920320887,False,23.403513269740372,0,0,1,1
med_events_next_1h,0.00215288624736913,36,0.012894184579177013,False,21.60193528433213,0,0,0,0
is_ecb_day,0.0003728351737016218,22,0.011665376195437609,False,13.201278388171653,0,0,0,0
session_ny,0.0007237796761862647,21,0.07231080180136654,False,12.607448214082993,0,0,1,1
session_asian,0.0004512681884369795,14,0.014458166388050095,False,8.401581197095336,0,0,0,0
any_event_next_1h,0.0007569306848287807,14,0.0009448294905321327,False,8.400321562154502,0,0,0,0
is_boe_day,0.0,0,0.0,False,0.0,0,0,0,0
is_snb_day,0.0,0,0.0,False,0.0,0,0,0,0
