feature,rf_imp,lgbm_imp,logreg_imp,is_noise,avg_imp,rf_vote,lgbm_vote,logreg_vote,total_votes
adx_14,0.013809731897027978,2005,0.007738780799241516,False,1203.004916797649,1,1,0,2
rolling_std_50,0.014150176457308735,1995,0.030978178941610084,False,1197.0073428708313,1,1,1,3
d1_rsi,0.014097542823131724,1879,0.03244458290911072,False,1127.4074737211379,1,1,1,3
obv,0.0163308978356398,1744,0.03541148969421281,False,1046.40844041832,1,1,1,3
atr_regime,0.03646425517209778,1714,0.11776239701405426,False,1028.422715516253,1,1,1,3
close_vs_ema200,0.01352273341000131,1690,0.3194738164844324,False,1014.0360042016715,1,1,1,3
d1_close_vs_ema20,0.013116685661269117,1589,0.10933917288913336,False,953.4148689229872,1,1,1,3
minus_di,0.010628546566563913,1477,0.11411704064062268,False,886.2146002680339,1,1,1,3
plus_di,0.011448635692021375,1426,0.04623175036336769,False,855.608057765744,1,1,1,3
rolling_std_10,0.013101622165443905,1421,0.049405929468959525,False,852.6088710795966,1,1,1,3
rsi_lag_5,0.010555454621690281,1355,0.019415872761047247,False,813.0051082236625,1,1,0,2
volume_lag_5,0.022378116952666182,1292,0.046141688622939284,False,775.211327603948,1,1,1,3
volume_ratio,0.022636003394488093,1280,0.08106942084308062,False,768.0148977431027,1,1,1,3
macd_hist,0.010792383542053823,1257,0.11491060295084723,False,754.2147287753576,1,1,1,3
atr_lag_5,0.012634714435468253,1234,0.04118687229537798,False,740.4079091015601,1,1,1,3
macd_sig,0.011875574505499337,1221,0.1439452252198641,False,732.6179571948737,1,1,1,3
close_vs_day_open,0.011007505615747443,1183,0.09159210089358102,False,709.8124614617741,1,1,1,3
bb_width,0.0121587540804161,1172,0.34558255040801517,False,703.2382058812649,1,1,1,3
macd_hist_slope,0.010365259290193609,1171,0.043627649408219386,False,702.6074723427279,1,1,1,3
rsi_lag_3,0.009942703097425915,1157,0.04760488344093124,False,694.2077432992733,1,1,1,3
