feature,rf_imp,lgbm_imp,logreg_imp,is_noise,avg_imp,rf_vote,lgbm_vote,logreg_vote,total_votes
evt_Michigan Consumer Sentiment Index,0.9691037055231637,0.751735443791175,1.0,False,0.9069463831047795,1,1,1,3
evt_ECB Main Refinancing Operations Rate,0.9795737433046773,1.0,0.2696922207839953,False,0.7497553213628908,1,1,1,3
evt_ECB's President Lagarde speech,0.7398932725726926,0.7051939910058048,0.5384516916405713,False,0.6611796517396895,1,1,1,3
evt_ISM Services PMI,0.7598991849951486,0.6679678976357485,0.47265491004223126,False,0.6335073308910428,1,1,1,3
evt_FOMC Minutes,0.8273109608121022,0.6782890837268835,0.38508807890948826,False,0.6302293744828247,1,1,1,3
is_speech,0.669288357636894,0.6086931909665992,0.5887100447504621,False,0.6222305311179851,0,0,1,1
body13,0.8469879651987439,0.7184471382337139,0.17691483849418824,False,0.5807833139755486,1,1,1,3
noise_sinusoidal,1.0,0.4744878306053366,0.24933988129683246,True,0.574609237300723,1,0,1,2
evt_ISM Manufacturing PMI,0.7473853284915664,0.7453721678780121,0.18642785782486634,False,0.5597284513981483,1,1,1,3
bWick13,0.8949893936441216,0.6286400140150444,0.14344543472867288,False,0.5556916141292797,1,0,1,2
range_14,0.6971985300782674,0.6667978551932146,0.3017053990142733,False,0.5552339280952517,0,1,1,2
bWick12,0.9621780231911703,0.5884421629669245,0.10668116688676571,False,0.5524337843482868,1,0,1,2
noise_random_walk,0.7177017594255448,0.6774977441303373,0.25124191999247725,True,0.5488138078494531,1,1,1,3
range_12,0.8077865885286138,0.7272707168424718,0.11081162957435367,False,0.5486229783151465,1,1,1,3
evt_Core Harmonized Index of Consumer Prices,0.7859647276531345,0.6971344363055159,0.15488398523972313,False,0.5459943830661245,1,1,1,3
evt_HCOB Composite PMI,0.7295489311489278,0.6642215199554515,0.20430170177109247,False,0.5326907176251573,1,1,1,3
wick_asym_14,0.7329029250243349,0.6566092756291958,0.1955353590160658,False,0.5283491865565321,1,1,1,3
body_ratio_15,0.937659213624981,0.5419554695614104,0.10489865000792342,False,0.5281711110647715,1,0,1,2
evt_Fed's Chair Powell testifies,0.731097569152781,0.6769927892504674,0.17209094339872416,False,0.5267271006006575,1,1,1,3
range_11,0.8894023799012266,0.5553664652728441,0.12851605318789863,False,0.5244282994539897,1,0,1,2
evt_FOMC Press Conference,0.7205489158185294,0.680006623219556,0.17040458862809474,False,0.5236533758887267,1,1,1,3
tWick13,0.7159830892211503,0.663367902311663,0.1880649157671021,False,0.5224719690999718,1,1,1,3
noise_gaussian_1,0.8402221572275032,0.673958866151187,0.031473954292159725,True,0.5152183258902834,1,1,0,2
evt_Consumer Price Index ex Food & Energy,0.7002885555651654,0.6406063239145823,0.20169984331107935,False,0.5141982409302757,0,0,1,1
evt_Gross Domestic Product s.a.,0.7304464967898905,0.681187184274323,0.11917859874092337,False,0.5102707599350457,1,1,1,3
evt_Retail Sales,0.720185607835671,0.6807961895395767,0.12338692775901194,False,0.5081229083780866,1,1,1,3
evt_ECB Press Conference,0.7161656218119851,0.6948935370779015,0.10659908507261535,False,0.5058860813208339,1,1,1,3
evt_ADP Employment Change,0.7195554468419609,0.674378064759835,0.11426902046260326,False,0.5027341773547997,1,1,1,3
body_ratio_13,0.7718706192128498,0.6176821266823611,0.09466274358495552,False,0.4947384964933888,1,0,0,1
bWick11,0.7058859038541949,0.748051380491191,0.026375937239802905,False,0.4934377405283963,1,1,0,2
evt_Fed's Chair Powell speech,0.7010448932546643,0.6907511319824089,0.08796138832869962,False,0.4932524711885909,0,1,0,1
wick_asym_15,0.7020543490485862,0.5920308671962735,0.16225922506755805,False,0.48544814710413925,0,0,1,1
evt_Nonfarm Payrolls,0.7141419237687087,0.6769927892504674,0.06274979548092038,False,0.4846281695000321,1,1,0,2
evt_Gross Domestic Product Annualized,0.7154365084404299,0.6769927892504674,0.056424562867396326,False,0.4829512868527645,1,1,0,2
body_ratio_12,0.7725734748220682,0.6537516254983531,0.019826060695850935,False,0.482050387005424,1,1,0,2
evt_OTHER,0.6946148252055417,0.6856913342815107,0.04469438942804453,False,0.475000182971699,0,1,0,1
evt_Durable Goods Orders,0.7052388922080306,0.6769927892504674,0.041714639491864984,False,0.47464877365012104,1,1,0,2
noise_uniform_1,0.6596115769111153,0.7033030264184003,0.060614196552809196,True,0.47450959996077496,0,1,0,1
body_std,0.7394934755909618,0.5563919538766023,0.12126984493671458,False,0.47238509146809293,1,0,1,2
noise_poisson_1,0.7041941861598908,0.6456100845436534,0.06654097477158681,True,0.4721150818250437,1,0,0,1
evt_Harmonized Index of Consumer Prices,0.7218480883029335,0.6774676278954476,0.010517429670166919,False,0.46994438195618266,1,1,0,2
wick_asym_13,0.6147499421427083,0.6279191376334189,0.1634407497994098,False,0.468703276525179,0,0,1,1
tWick11,0.688161491992569,0.6100190934397081,0.10412952095725414,False,0.4674367021298438,0,0,1,1
body_ratio_14,0.7278422920751936,0.5861819975770163,0.08154436638887448,False,0.4651895520136948,1,0,0,1
wick_asym_11,0.623286810422291,0.6691076511357148,0.1023308445526995,False,0.46490843537023513,0,1,0,1
noise_poisson_2,0.7178489217829397,0.6470622150730472,0.028349515626334195,True,0.464420217494107,1,0,0,1
tWick14,0.6669253471340376,0.6693469364811014,0.0526515069173912,False,0.46297459684417674,0,1,0,1
range_mean,0.6507077995177832,0.6918111843089846,0.04165291575893403,False,0.46139063319523393,0,1,0,1
noise_gaussian_3,0.65840850284355,0.5793579739752563,0.1407294845003608,True,0.4594986537730557,0,0,1,1
range_sum,0.6579928088411715,0.6672799269949747,0.04165291575893365,False,0.45564188386502663,0,1,0,1
body11,0.5719524600999734,0.6841820681316142,0.1061549086250846,False,0.4540964789522241,0,1,1,2
range_15,0.5278763973242787,0.6804543623710343,0.12671880837386193,False,0.44501652268972497,0,1,1,2
tWick15,0.6443529599259726,0.5173385917092401,0.17226740586230674,False,0.44465298583250656,0,0,1,1
wick_asym_12,0.6608254985722819,0.5528782011199022,0.09952808365637547,False,0.43774392778285315,0,0,0,0
tWick12,0.6387900948985478,0.5908774501552758,0.0433089914604877,False,0.42432551217143705,0,0,0,0
body_sum,0.6037076607055313,0.6373438959748382,0.027149284511932232,False,0.4227336137307673,0,0,0,0
body_abs_sum,0.5825882198797723,0.5108090085878919,0.1528635533835045,False,0.4154202606170563,0,0,1,1
