feature,rf_imp,lgbm_imp,logreg_imp,is_noise,avg_imp,rf_vote,lgbm_vote,logreg_vote,total_votes
evt_Michigan Consumer Sentiment Index,0.9691037055231637,0.751735443791175,1.0,False,0.9069463831047795,1,1,1,3
evt_ECB Main Refinancing Operations Rate,0.9795737433046773,1.0,0.2696922207839953,False,0.7497553213628908,1,1,1,3
evt_ECB's President Lagarde speech,0.7398932725726926,0.7051939910058048,0.5384516916405713,False,0.6611796517396895,1,1,1,3
evt_ISM Services PMI,0.7598991849951486,0.6679678976357485,0.47265491004223126,False,0.6335073308910428,1,1,1,3
evt_FOMC Minutes,0.8273109608121022,0.6782890837268835,0.38508807890948826,False,0.6302293744828247,1,1,1,3
is_speech,0.669288357636894,0.6086931909665992,0.5887100447504621,False,0.6222305311179851,0,0,1,1
body13,0.8469879651987439,0.7184471382337139,0.17691483849418824,False,0.5807833139755486,1,1,1,3
evt_ISM Manufacturing PMI,0.7473853284915664,0.7453721678780121,0.18642785782486634,False,0.5597284513981483,1,1,1,3
bWick13,0.8949893936441216,0.6286400140150444,0.14344543472867288,False,0.5556916141292797,1,0,1,2
range_14,0.6971985300782674,0.6667978551932146,0.3017053990142733,False,0.5552339280952517,0,1,1,2
bWick12,0.9621780231911703,0.5884421629669245,0.10668116688676571,False,0.5524337843482868,1,0,1,2
range_12,0.8077865885286138,0.7272707168424718,0.11081162957435367,False,0.5486229783151465,1,1,1,3
evt_Core Harmonized Index of Consumer Prices,0.7859647276531345,0.6971344363055159,0.15488398523972313,False,0.5459943830661245,1,1,1,3
evt_HCOB Composite PMI,0.7295489311489278,0.6642215199554515,0.20430170177109247,False,0.5326907176251573,1,1,1,3
wick_asym_14,0.7329029250243349,0.6566092756291958,0.1955353590160658,False,0.5283491865565321,1,1,1,3
body_ratio_15,0.937659213624981,0.5419554695614104,0.10489865000792342,False,0.5281711110647715,1,0,1,2
evt_Fed's Chair Powell testifies,0.731097569152781,0.6769927892504674,0.17209094339872416,False,0.5267271006006575,1,1,1,3
range_11,0.8894023799012266,0.5553664652728441,0.12851605318789863,False,0.5244282994539897,1,0,1,2
evt_FOMC Press Conference,0.7205489158185294,0.680006623219556,0.17040458862809474,False,0.5236533758887267,1,1,1,3
tWick13,0.7159830892211503,0.663367902311663,0.1880649157671021,False,0.5224719690999718,1,1,1,3
evt_Consumer Price Index ex Food & Energy,0.7002885555651654,0.6406063239145823,0.20169984331107935,False,0.5141982409302757,0,0,1,1
evt_Gross Domestic Product s.a.,0.7304464967898905,0.681187184274323,0.11917859874092337,False,0.5102707599350457,1,1,1,3
evt_Retail Sales,0.720185607835671,0.6807961895395767,0.12338692775901194,False,0.5081229083780866,1,1,1,3
evt_ECB Press Conference,0.7161656218119851,0.6948935370779015,0.10659908507261535,False,0.5058860813208339,1,1,1,3
evt_ADP Employment Change,0.7195554468419609,0.674378064759835,0.11426902046260326,False,0.5027341773547997,1,1,1,3
