feature,rf_imp,lgbm_imp,logreg_imp,is_noise,avg_imp,rf_vote,lgbm_vote,logreg_vote,total_votes
range_15,0.82531380753138,0.699399399399399,1.0,False,0.8415710689769264,1,1,1,3
body_std,0.7897489539748953,0.6978978978978972,0.8081582631331204,False,0.7652683716686376,1,1,1,3
bWick15,1.0,0.8483483483483488,0.310098783627568,False,0.7194823773253057,1,1,1,3
tWick14,0.7869595536959548,0.6183183183183185,0.4874466178620396,False,0.6309081632921043,1,1,1,3
tWick12,0.8511157601115759,0.8244744744744741,0.21597878567992704,False,0.6305230067553257,1,1,1,3
bWick14,0.5718270571827054,1.0,0.22681022564784067,False,0.5995457609435154,1,1,1,3
noise_uniform_2,0.9074267782426778,0.6369369369369371,0.21540936714099726,True,0.5865910274402041,1,1,1,3
tWick11,0.5343444909344485,0.30210210210210237,0.8768732040599164,False,0.5711065990321558,1,0,1,2
evt_ECB's President Draghi speech,0.4396792189679213,0.4351351351351353,0.7952424181688398,False,0.5566855907572988,1,1,1,3
evt_OTHER,0.5299860529986036,0.5207207207207202,0.615345258249169,False,0.5553506773228308,1,1,1,3
is_speech,0.4131799163179924,0.43693693693693586,0.7805133344497607,False,0.543543395901563,0,1,1,2
noise_gaussian_2,0.623430962343096,0.805705705705707,0.19585761431249465,True,0.5416647607870992,1,1,1,3
range_13,0.6661436541143664,0.6525525525525532,0.2829902545179601,False,0.5338954870616266,1,1,1,3
body12,0.42625523012552247,0.6891891891891894,0.4791150001922869,False,0.5315198065023329,0,1,1,2
body_abs_sum,0.3036959553695948,0.9711711711711722,0.24828861129853952,False,0.5077185792797688,0,1,1,2
evt_ECB Press Conference,0.3892956764295672,0.45435435435435495,0.636000383419474,False,0.49321680473446533,0,1,1,2
tWick15,0.35407949790794885,0.4163663663663664,0.7045264219291303,False,0.49165742873448187,0,0,1,1
body_ratio_15,0.6413877266387719,0.35915915915915947,0.47170999580144196,False,0.49075229386645774,1,0,1,2
noise_poisson_1,0.43915620641562014,0.5379879879879877,0.473203654430246,True,0.483449282944618,0,1,1,2
body15,0.6959553695955369,0.2666666666666674,0.47554243510390765,False,0.4793881571220373,1,0,1,2
evt_HCOB Composite PMI,0.4428172942817306,0.4351351351351353,0.5244017485147863,False,0.4674513926438841,1,1,1,3
wick_asym_mean,0.4341004184100411,0.5055555555555545,0.45111069996359615,False,0.4635888913097306,0,1,1,2
evt_Consumer Price Index ex Food & Energy,0.4067294281729428,0.4351351351351353,0.5398400273936914,False,0.46056819690058987,0,1,1,2
evt_Average Hourly Earnings,0.41788702928870464,0.42717717717717746,0.5216882236951061,False,0.45558414338699604,0,0,1,1
body14,0.5392259414225946,0.5590090090090096,0.21193190365767778,False,0.4367222846964274,1,1,1,3
evt_Michigan Consumer Sentiment Index,0.4574616457461661,0.4351351351351353,0.4157463184233518,False,0.4361143664348844,1,1,1,3
body11,0.43061366806136697,0.7960960960960974,0.06890999887683255,False,0.43187325434476564,0,1,0,1
body_mean,0.7981171548117146,0.4555555555555554,0.03347634892326627,False,0.42904968643017877,1,1,0,2
bWick12,0.3753486750348683,0.4337837837837838,0.4736651971921661,False,0.4275992186702728,0,0,1,1
wick_asym_13,0.44299163179916257,0.7153153153153151,0.11381029929245128,False,0.42403908213564295,1,1,0,2
noise_sinusoidal,0.7241980474198046,0.5426426426426427,0.0004725597077670774,True,0.4224377499234048,1,1,0,2
evt_FOMC Press Conference,0.44752440725244136,0.4351351351351353,0.3530934393495127,False,0.4119176605790298,1,1,1,3
wick_asym_12,0.11349372384937235,0.47267267267267266,0.6481691603105517,False,0.41144518561086557,0,1,1,2
evt_Gross Domestic Product Annualized,0.4220711297071143,0.4334834834834825,0.3724805618728535,False,0.40934505835448337,0,0,1,1
body13,0.6720711297071132,0.47792792792792793,0.06510691371262883,False,0.40503532378255663,1,1,0,2
evt_Fed Interest Rate Decision,0.4543235704323582,0.4351351351351353,0.2853876825060326,False,0.39161546269117536,1,1,1,3
evt_Nonfarm Payrolls,0.4518828451882849,0.4129129129129126,0.2875343654485736,False,0.38411004118325703,1,0,1,2
body_sum,0.6223849372384929,0.4935435435435431,0.03347634892326786,False,0.3831349432351013,1,1,0,2
