feature,rf_imp,lgbm_imp,logreg_imp,is_noise,avg_imp,rf_vote,lgbm_vote,logreg_vote,total_votes
range_15,0.82531380753138,0.699399399399399,1.0,False,0.8415710689769264,1,1,1,3
body_std,0.7897489539748953,0.6978978978978972,0.8081582631331204,False,0.7652683716686376,1,1,1,3
bWick15,1.0,0.8483483483483488,0.310098783627568,False,0.7194823773253057,1,1,1,3
tWick14,0.7869595536959548,0.6183183183183185,0.4874466178620396,False,0.6309081632921043,1,1,1,3
tWick12,0.8511157601115759,0.8244744744744741,0.21597878567992704,False,0.6305230067553257,1,1,1,3
bWick14,0.5718270571827054,1.0,0.22681022564784067,False,0.5995457609435154,1,1,1,3
tWick11,0.5343444909344485,0.30210210210210237,0.8768732040599164,False,0.5711065990321558,1,0,1,2
evt_ECB's President Draghi speech,0.4396792189679213,0.4351351351351353,0.7952424181688398,False,0.5566855907572988,1,1,1,3
evt_OTHER,0.5299860529986036,0.5207207207207202,0.615345258249169,False,0.5553506773228308,1,1,1,3
is_speech,0.4131799163179924,0.43693693693693586,0.7805133344497607,False,0.543543395901563,0,1,1,2
range_13,0.6661436541143664,0.6525525525525532,0.2829902545179601,False,0.5338954870616266,1,1,1,3
body12,0.42625523012552247,0.6891891891891894,0.4791150001922869,False,0.5315198065023329,0,1,1,2
body_abs_sum,0.3036959553695948,0.9711711711711722,0.24828861129853952,False,0.5077185792797688,0,1,1,2
evt_ECB Press Conference,0.3892956764295672,0.45435435435435495,0.636000383419474,False,0.49321680473446533,0,1,1,2
tWick15,0.35407949790794885,0.4163663663663664,0.7045264219291303,False,0.49165742873448187,0,0,1,1
body_ratio_15,0.6413877266387719,0.35915915915915947,0.47170999580144196,False,0.49075229386645774,1,0,1,2
body15,0.6959553695955369,0.2666666666666674,0.47554243510390765,False,0.4793881571220373,1,0,1,2
evt_HCOB Composite PMI,0.4428172942817306,0.4351351351351353,0.5244017485147863,False,0.4674513926438841,1,1,1,3
wick_asym_mean,0.4341004184100411,0.5055555555555545,0.45111069996359615,False,0.4635888913097306,0,1,1,2
evt_Consumer Price Index ex Food & Energy,0.4067294281729428,0.4351351351351353,0.5398400273936914,False,0.46056819690058987,0,1,1,2
evt_Average Hourly Earnings,0.41788702928870464,0.42717717717717746,0.5216882236951061,False,0.45558414338699604,0,0,1,1
