feature,rf_imp,lgbm_imp,logreg_imp,is_noise,avg_imp,rf_vote,lgbm_vote,logreg_vote,total_votes
rolling_std_50,0.01226143088944433,1834,0.04324653167662451,False,1100.4080030824343,1,1,0,2
deviation_sum_24h,0.011367989115489275,1820,0.012830433289682796,False,1092.0046934400636,1,1,0,2
adx_14,0.012815045226225268,1819,0.029957496756044394,False,1091.4068402632433,1,1,0,2
atr_regime,0.043734839096170056,1659,0.16716379586535365,False,995.4298368313154,1,1,1,3
obv_zscore_100,0.0113513730177647,1633,0.0001873930291238349,False,979.8034241512082,1,1,0,2
noise_random_walk,0.013917560754338983,1592,0.018299177037592675,True,955.2060051859299,1,1,0,2
d1_rsi,0.011985884008645998,1587,0.013886285253453345,False,952.2049843937278,1,1,0,2
hours_since_last_high,0.013250283665841188,1582,0.01901244457593734,False,949.2058763295573,1,1,0,2
obv_slope_20,0.01098295530550481,1465,0.019193729076211002,False,879.0052142594993,1,1,0,2
d1_close_vs_ema20,0.01153582813631319,1374,0.0741028797945098,False,824.4108710364204,1,1,1,3
obv,0.01297361771959719,1351,0.027618125665080616,False,810.6066538978824,1,1,0,2
rolling_std_10,0.012356779117321815,1351,0.0011327983979005992,False,810.6038203135749,1,1,0,2
close_vs_ema200,0.011416748263985133,1325,0.06988184631976643,False,795.0104132091111,1,1,0,2
minus_di,0.009506674252439517,1305,0.07434882188518654,False,783.0102868844642,0,1,1,2
high_events_next_24h,0.009256962877642787,1225,0.0378744374852478,False,735.0065645326117,0,1,0,1
plus_di,0.010046057928860113,1175,0.016411978366101393,False,705.0046550152153,1,1,0,2
atr_lag_5,0.012782064535220563,1158,0.009492358923507678,False,694.8047838552528,1,1,0,2
noise_gaussian_3,0.008840862786439481,1155,0.014593129219738302,True,693.0041115717579,0,1,0,1
noise_gaussian_2,0.00880437402594346,1155,0.00916978499015763,True,693.0035582907068,0,1,0,1
rsi_lag_5,0.009598194282468445,1149,0.026735340251750467,False,689.4055529923098,1,1,0,2
close_vs_day_open,0.009666396979135341,1124,0.10633079309924375,False,674.4135329984036,1,1,1,3
macd_sig,0.010823789830961964,1118,0.10929240888188126,False,670.8141763778375,1,1,1,3
macd_hist,0.010258387953499207,1085,0.21566054832953152,False,651.024643571219,1,1,1,3
noise_uniform_2,0.008965212566771574,1076,0.017683704543972226,True,645.6044579342245,0,1,0,1
upper_wick,0.008062239639584074,1069,0.02792475946350235,False,641.4052111478381,0,1,0,1
noise_sinusoidal,0.009781628304658643,1064,0.020431189445101,True,638.4049776074359,1,1,0,2
noise_uniform_1,0.008853507849394857,1062,0.01752050147846071,True,637.2044081025026,0,1,0,1
noise_gaussian_1,0.008394974429025355,1053,0.003094987799191244,True,631.8028279911085,0,1,0,1
macd_hist_slope,0.008941197524882738,1050,0.08611614617607342,False,630.0112939738751,0,1,1,2
volume_lag_5,0.018347346762467784,1050,0.007197158525778113,False,630.0062239198813,1,1,0,2
lower_wick,0.008640651728838674,1016,0.07078458855391494,False,609.6096706543741,0,1,1,2
bb_width,0.010054229128458637,1012,0.4172530654419086,False,607.2447415752827,1,1,1,3
volume_lag_2,0.01110691888023539,1009,0.06989738799921988,False,605.4103218144639,1,1,0,2
volume_ratio,0.020295375416625728,1007,0.08703919313625906,False,604.2147925319385,1,1,1,3
close_vs_ema50,0.009044690973840796,1005,0.13891415435035873,False,603.0166048227272,0,1,1,2
atr_14,0.018280167718344575,987,0.44318830178160895,False,592.2498028804937,1,1,1,3
rsi_lag_3,0.009166584790432818,984,0.01870425898746136,False,590.4046204013359,0,0,0,0
volume_lag_3,0.012088907142021937,984,0.0017759229295427048,False,590.4038042644355,1,0,0,1
volume_lag_1,0.013381634166311634,971,0.030455509285687504,False,582.6070600411786,1,0,0,1
price_range,0.012303800999218708,964,0.055472481933297374,False,578.4092383884931,1,0,0,1
atr_lag_3,0.015063148945703937,958,0.08616025299418324,False,574.813134969983,1,0,1,2
rolling_std_20,0.010271388690277649,957,0.4094766884974117,False,574.2440290854568,1,0,1,2
return_5b,0.008846041225243921,942,0.06849468933325532,False,565.2095032813008,0,0,0,0
rsi_lag_2,0.008713897129773652,891,0.01152864025623611,False,534.6037670331646,0,0,0,0
stoch_d,0.009006679497140709,880,0.005958912684788045,False,528.0032978951176,0,0,0,0
