feature,rf_imp,lgbm_imp,logreg_imp,is_noise,avg_imp,rf_vote,lgbm_vote,logreg_vote,total_votes
adx_14,0.014200640720407982,2087,0.027547435720701487,False,1252.2070149357883,1,1,1,3
rolling_std_50,0.013598848067353429,1981,0.03810547142423465,False,1188.6078902015624,1,1,1,3
d1_rsi,0.013357998168377882,1904,0.014494773319276993,False,1142.4054568767824,1,1,0,2
atr_regime,0.04138237021798575,1880,0.16592746236382494,False,1128.029007457302,1,1,1,3
d1_close_vs_ema20,0.012463054797613593,1568,0.1172960572562041,False,940.8154685221648,1,1,1,3
obv,0.014471620462924675,1562,0.01953095547308507,False,937.206294581686,1,1,1,3
close_vs_ema200,0.012881904834490502,1539,0.11136207309865297,False,923.4150007787601,1,1,1,3
rolling_std_10,0.014402994270649198,1517,0.007815944758204633,False,910.205102492757,1,1,0,2
minus_di,0.010864841569686524,1447,0.07130261075376765,False,868.2103897135463,1,1,1,3
plus_di,0.01100794247624836,1402,0.0235853325367568,False,841.2056609159964,1,1,1,3
atr_lag_5,0.013929159221651043,1328,0.02673117669652029,False,796.8068518654361,1,1,1,3
volume_lag_5,0.01964189981208892,1314,0.010215555281396704,False,788.4069141254718,1,1,0,2
close_vs_day_open,0.010840014755483612,1250,0.08201549760949083,False,750.0114535541876,1,1,1,3
macd_sig,0.011671822587144224,1242,0.10381045613649166,False,745.2138825923897,1,1,1,3
volume_ratio,0.01967759679915342,1240,0.08284479205166802,False,744.0141877582449,1,1,1,3
macd_hist,0.010944638538167595,1224,0.18030524021862857,False,734.4213139155833,1,1,1,3
rsi_lag_5,0.010622613271970175,1207,0.026761375989698296,False,724.2058629215805,1,1,1,3
bb_width,0.011745859327413512,1177,0.3607691810388275,False,706.239600675902,1,1,1,3
upper_wick,0.009234495562342283,1171,0.027350563941744583,False,702.6055054050629,1,1,1,3
