feature,rf_imp,lgbm_imp,logreg_imp,is_noise,avg_imp,rf_vote,lgbm_vote,logreg_vote,total_votes
wti_ret_1d,0.015433314584198842,420,0.03735239373252208,False,252.0083652337485,1,1,0,2
wti_ret_5d,0.015686146613817554,413,0.029365808265090162,False,247.80764242481064,1,1,0,2
wti_vs_ema20,0.0152703448195251,401,0.022787362009704003,False,240.6068598396468,1,1,0,2
d1_rsi,0.015154293290591888,383,0.08678856680107322,False,229.81322514466729,1,1,1,3
deviation_sum_24h,0.012766744741495055,378,0.02431821636546882,False,226.80626184505897,1,1,0,2
hours_since_last_high,0.015128437646425555,378,0.0039011114726692723,False,226.80492864244115,1,1,0,2
dxy_ret_5d,0.01403126308246522,354,0.06769103841906882,False,212.41097848276667,1,1,1,3
rolling_std_50,0.0144265172982892,351,0.023942717351706718,False,210.60672222692466,1,1,0,2
dxy_ret_1d,0.013732234164654288,335,0.0013707693860178498,False,201.004256747188,1,1,0,2
dxy_vs_ema20,0.013460599259124718,330,0.082427603275204,False,198.01228094010528,1,1,1,3
adx_14,0.014840731441084186,324,0.06178873771224373,False,194.41063109320356,1,1,1,3
obv_slope_20,0.014256735201351895,316,0.06460939980013009,False,189.6107379605404,1,1,1,3
high_events_next_24h,0.009550842182345023,305,0.019330257574163914,False,183.00479827841212,0,1,0,1
close_vs_day_open,0.013713730452440849,303,0.19369008181687047,False,181.8234831273174,1,1,1,3
close_vs_ema200,0.01446059136102905,292,0.21434312874693143,False,175.225772490283,1,1,1,3
d1_close_vs_ema20,0.013579374239695706,271,0.0942989876137943,False,162.61350371103327,1,1,1,3
obv_zscore_100,0.014113334550338762,265,0.0608085580830404,False,159.0103148561734,1,1,1,3
rolling_std_10,0.012735982210844547,257,0.02832840443387912,False,154.20665363510662,1,1,0,2
obv,0.013172916446395108,251,0.09113661884069886,False,150.613065536818,1,1,1,3
macd_sig,0.013595725969490187,244,0.054788045921675285,False,146.40955752238304,1,1,0,2
atr_regime,0.01706910692502061,232,0.0340815113495807,False,139.20852888321244,1,1,0,2
minus_di,0.012010085934857832,230,0.012188129975413372,False,138.00482183877799,1,1,0,2
d1_ema50,0.010622083434790397,223,0.6022505148708818,False,133.8634116765175,1,1,1,3
bb_width,0.013077744427211145,205,1.6638063788616337,False,123.17030396121433,1,1,1,3
close_vs_ema50,0.01156896284092471,199,0.2188084063909732,False,119.42535152949137,1,1,1,3
macd_hist,0.010839123295388433,185,0.1047050021968586,False,111.0137222372083,1,1,1,3
atr_lag_5,0.01275116923531925,177,0.06129449484437645,False,106.20995480025503,1,1,1,3
volume_lag_5,0.013084171302323332,168,0.06127952133562283,False,100.81005320352426,1,1,1,3
atr_14,0.013939722374772975,167,0.2845327911274089,False,100.23263519582517,1,1,1,3
atr_lag_3,0.012550343355438387,164,0.16947730084353732,False,98.42071283309097,1,1,1,3
plus_di,0.010931951416550987,164,0.06406770852863024,False,98.40968635627782,1,1,1,3
rolling_std_20,0.013377652362148112,157,1.722829094208349,False,94.37629620512948,1,1,1,3
macd,0.012332111735206736,146,0.08487221802542491,False,87.6121868553231,1,1,1,3
