feature,rf_imp,lgbm_imp,logreg_imp,is_noise,avg_imp,rf_vote,lgbm_vote,logreg_vote,total_votes
hours_since_last_high,0.012871639211264987,1840,0.03697710440883842,False,1104.0075592022044,1,1,0,2
adx_14,0.012613332286000591,1837,0.015990282662888416,False,1102.2053830279522,1,1,0,2
obv,0.01382296911047058,1756,0.06849180713087706,False,1053.6109960714462,1,1,1,3
deviation_sum_24h,0.012658012224566617,1706,0.0010770213720326135,False,1023.6039051058045,1,1,0,2
rolling_std_50,0.014946575006140038,1700,0.09711745241237846,False,1020.0141957177431,1,1,1,3
d1_rsi,0.012713566842859852,1581,0.01953856791563356,False,948.6057679268444,1,1,0,2
close_vs_ema200,0.013035445722828042,1507,0.14130478309426384,False,904.2180411120262,1,1,1,3
atr_regime,0.03215435231780195,1499,0.06530271582619569,False,899.416176577278,1,1,1,3
d1_close_vs_ema20,0.012961136441932967,1381,0.13225122764388825,False,828.617113463697,1,1,1,3
minus_di,0.01149480805621261,1354,0.1675471787097277,False,812.4202031602878,1,1,1,3
rolling_std_10,0.012467580841946092,1314,0.09613262923396512,False,788.4133535371759,1,1,1,3
close_vs_day_open,0.012544831885662504,1295,0.16308925966339488,False,777.020072375532,1,1,1,3
atr_lag_5,0.014702906337107842,1256,0.17453690405906958,False,753.621864562307,1,1,1,3
volume_lag_5,0.013222797932285096,1180,0.0011374300497238108,False,708.0040805823846,1,1,0,2
macd_sig,0.011992922262962094,1179,0.06173299934092481,False,707.4097711766129,1,1,1,3
