feature,rf_imp,lgbm_imp,logreg_imp,is_noise,avg_imp,rf_vote,lgbm_vote,logreg_vote,total_votes
deviation_sum_24h,0.011148480402230149,392,0.009435785157238892,False,235.20428812263637,1,1,0,2
vix_change_1d,0.011411061370193293,366,0.050569475061792685,False,219.60848026591722,1,1,1,3
hours_since_last_high,0.01464314392127849,350,0.007243774971470667,False,210.00511732067352,1,1,0,2
dxy_ret_1d,0.011680481219127983,343,0.032935083885249565,False,205.80679765275426,1,1,0,2
tips10y_change_5d,0.010035147982940607,333,0.04496654477052098,False,199.80750719887192,1,1,0,2
d1_rsi,0.011565619191164793,323,0.08867838847189131,False,193.81233752460452,1,1,1,3
tips10y_zscore_20,0.01158023437061344,320,0.02977917819277093,False,192.00645198813044,1,1,0,2
atr_regime,0.028889459459139216,318,0.20230625769234684,False,190.82889746360698,1,1,1,3
adx_14,0.010916211937128543,312,0.03899501896148368,False,187.20717436547727,1,1,0,2
noise_random_walk,0.013331658131453176,306,0.05531880682855926,True,183.60953137812228,1,1,1,3
rolling_std_50,0.011749607286731549,305,0.06908835572247372,False,183.01043371775827,1,1,1,3
obv,0.012479530707560638,296,0.09794548982670774,False,177.61353840819496,1,1,1,3
vix_zscore_20,0.011069914070016907,290,0.02291057142331835,False,174.00561203136334,1,1,0,2
close_vs_ema200,0.011211190586198367,282,0.26663583386695416,False,169.23002694056254,1,1,1,3
obv_slope_20,0.01160782955584686,280,0.04610310648237133,False,168.008092659515,1,1,1,3
vix_change_5d,0.011485893451736725,276,0.008953035643503544,False,165.6043410715999,1,1,0,2
vix_level,0.01179681033647952,272,0.02662124843959079,False,163.2062011679449,1,1,0,2
close_vs_day_open,0.011562053821741346,264,0.19307106606383156,False,158.42277572275293,1,1,1,3
dxy_vs_ema20,0.0108374271119715,264,0.11654940949793943,False,158.4149061690834,1,1,1,3
dxy_ret_5d,0.010779648152575018,247,0.026996736563212716,False,148.20593356810207,1,1,0,2
tips10y_level,0.00989515610750853,246,0.1489344484187027,False,147.61786199167412,1,1,1,3
bb_width,0.01073377740423318,244,0.04135417388649191,False,146.40735555060994,1,1,0,2
d1_close_vs_ema20,0.011611929816761173,242,0.38568130469600237,False,145.24205170941462,1,1,1,3
tips10y_change_1d,0.007918481592570768,235,0.03022206339838183,False,141.0053977508176,0,1,0,1
minus_di,0.00971889976051121,228,0.09308669534485937,False,136.8122243394626,1,1,1,3
high_events_next_24h,0.007418950480379721,221,0.036311804025076576,False,132.60585686554663,0,1,0,1
noise_sinusoidal,0.009184857277470752,215,0.11541921088921316,True,129.01429737827218,0,1,1,2
obv_zscore_100,0.009941501087965746,215,0.05648148796478193,False,129.00863059912285,1,1,1,3
volume_ratio,0.015134033584101599,212,0.1548201480073321,False,127.22002222487596,1,1,1,3
rolling_std_10,0.010590781774646847,211,0.09622239734039927,False,126.61279947426642,1,1,1,3
macd_hist,0.01017190412341159,203,0.0645111074224379,False,121.80950268197927,1,1,1,3
macd_sig,0.010381599014224207,189,0.03158508021549284,False,113.40627298772581,1,1,0,2
macd_hist_slope,0.008885563439629571,176,0.03394150751458636,False,105.60605981978334,0,1,0,1
stoch_d,0.008888845654537745,173,0.13121892011819533,False,103.81578854570819,0,1,1,2
plus_di,0.009689958964853234,169,0.011251452760555773,False,101.4040321329655,1,1,0,2
rolling_std_20,0.010546190218747779,164,0.04576668241817762,False,98.40774052530745,1,1,0,2
close_vs_ema50,0.009035584892963248,164,0.029316880897777436,False,98.40564236355766,0,1,0,1
macd,0.009355174828186926,163,0.011000576402830685,False,97.80390661008875,1,1,0,2
atr_lag_5,0.010028356094139582,160,0.23782499565492363,False,96.02679100639374,1,1,1,3
return_5b,0.008271819924961246,156,0.06376052610690752,False,93.60885759858817,0,1,1,2
bb_pct,0.00903860992077,145,0.15037562723753797,False,87.01774914569998,0,1,1,2
stoch_k,0.008354476514124572,144,0.07775636237345546,False,86.41028197919157,0,1,1,2
volume_lag_3,0.010579082504524615,143,0.07404708376555173,False,85.81057843312792,1,1,1,3
volume_lag_5,0.012861651194161487,141,0.020283272748983686,False,84.60588682263314,1,1,0,2
atr_14,0.012251123067261949,138,0.2817597470441704,False,82.83185131162459,1,1,1,3
price_range,0.01141845801077231,133,0.025955711056790575,False,79.8060211085089,1,0,0,1
rsi_lag_5,0.008812827412999035,132,0.07812666307267897,False,79.21045651453117,0,0,1,1
volume_lag_1,0.009620667813667808,132,0.011497109327655557,False,79.20403591127686,1,0,0,1
atr_lag_1,0.013565582374828997,129,0.005449978308162166,False,77.40461467254326,1,0,0,1
atr_lag_3,0.011318483778961889,126,0.38052267187250094,False,75.64144781232093,1,0,1,2
month,0.004838463840579513,124,0.005543409213402201,False,74.4020058800735,0,0,0,0
hour_cos,0.03141901594706295,123,0.2486347224869352,False,73.83428917703282,1,0,1,2
noise_gaussian_1,0.007378176168178206,123,0.00209778289801516,True,73.80242323114025,0,0,0,0
cci_20,0.008441350869784849,122,0.0978159968814225,False,73.21231400494908,0,0,1,1
rsi_14,0.00841695633102274,119,0.08136855635248706,False,71.41066194253455,0,0,1,1
volume_lag_2,0.009003033033621703,117,0.015159509783900437,False,70.20421686088848,0,0,0,0
lower_wick,0.008268778054083511,114,0.04613175778950103,False,68.40709380919517,0,0,1,1
upper_wick,0.007118981512202381,114,0.01770678225186928,False,68.40390637267883,0,0,0,0
rsi_lag_3,0.008409580807686102,113,0.002602126048235675,False,67.80278308684713,0,0,0,0
