date,indicator,currency,frequency,previous_value,new_value,change_direction
2016-08-01,EUR CPI YOY,EUR,monthly,0.1,0.2,increase
2016-08-01,EUR UNEMPLOYMENT,EUR,monthly,10.1,10.0,decrease
2016-08-01,NFP CHANGE,USD,monthly,247.0,373.0,increase
2016-08-01,USD CPI YOY,USD,monthly,1.0,0.8,decrease
2016-08-01,USD UNEMPLOYMENT,USD,monthly,4.9,4.8,decrease
2016-08-31,EUR UNEMPLOYMENT,EUR,monthly,10.0,9.9,decrease
2016-08-31,NFP CHANGE,USD,monthly,373.0,141.0,decrease
2016-08-31,USD CPI YOY,USD,monthly,0.8,1.1,increase
2016-08-31,USD PCE YOY,USD,monthly,0.8,0.9,increase
2016-08-31,USD UNEMPLOYMENT,USD,monthly,4.8,4.9,increase
2016-09-30,EUR CPI YOY,EUR,monthly,0.2,0.4,increase
2016-09-30,NFP CHANGE,USD,monthly,141.0,306.0,increase
2016-09-30,USD CPI YOY,USD,monthly,1.1,1.5,increase
2016-09-30,USD GDP QOQ,USD,quarterly,1.3,2.9,increase
2016-09-30,USD PCE YOY,USD,monthly,0.9,1.2,increase
2016-09-30,USD UNEMPLOYMENT,USD,monthly,4.9,5.0,increase
2016-10-31,EUR CPI YOY,EUR,monthly,0.4,0.5,increase
2016-10-31,EUR UNEMPLOYMENT,EUR,monthly,9.9,9.8,decrease
2016-10-31,NFP CHANGE,USD,monthly,306.0,98.0,decrease
2016-10-31,USD CPI YOY,USD,monthly,1.5,1.6,increase
2016-10-31,USD PCE YOY,USD,monthly,1.2,1.4,increase
2016-10-31,USD UNEMPLOYMENT,USD,monthly,5.0,4.9,decrease
2016-11-30,EUR CPI YOY,EUR,monthly,0.5,0.6,increase
2016-11-30,NFP CHANGE,USD,monthly,98.0,118.0,increase
2016-11-30,USD CPI YOY,USD,monthly,1.6,1.7,increase
2016-11-30,USD UNEMPLOYMENT,USD,monthly,4.9,4.7,decrease
2016-12-14,FED FUNDS TARGET,USD,decision,0.5,0.75,increase
2017-01-02,EUR CPI YOY,EUR,monthly,0.6,1.1,increase
2017-01-02,EUR UNEMPLOYMENT,EUR,monthly,9.8,9.7,decrease
2017-01-02,NFP CHANGE,USD,monthly,118.0,225.0,increase
2017-01-02,USD CPI YOY,USD,monthly,1.7,2.1,increase
2017-01-02,USD GDP QOQ,USD,quarterly,2.9,2.2,decrease
2017-01-02,USD PCE YOY,USD,monthly,1.4,1.7,increase
2017-01-31,EUR CPI YOY,EUR,monthly,1.1,1.7,increase
2017-01-31,EUR UNEMPLOYMENT,EUR,monthly,9.7,9.6,decrease
2017-01-31,NFP CHANGE,USD,monthly,225.0,220.0,decrease
2017-01-31,USD CPI YOY,USD,monthly,2.1,2.5,increase
2017-01-31,USD PCE YOY,USD,monthly,1.7,2.0,increase
2017-02-28,EUR CPI YOY,EUR,monthly,1.7,2.0,increase
2017-02-28,EUR UNEMPLOYMENT,EUR,monthly,9.6,9.5,decrease
2017-02-28,NFP CHANGE,USD,monthly,220.0,218.0,decrease
2017-02-28,USD CPI YOY,USD,monthly,2.5,2.7,increase
2017-02-28,USD PCE YOY,USD,monthly,2.0,2.2,increase
2017-02-28,USD UNEMPLOYMENT,USD,monthly,4.7,4.6,decrease
2017-03-15,FED FUNDS TARGET,USD,decision,0.75,1.0,increase
2017-03-31,EUR CPI YOY,EUR,monthly,2.0,1.5,decrease
2017-03-31,EUR UNEMPLOYMENT,EUR,monthly,9.5,9.4,decrease
2017-03-31,NFP CHANGE,USD,monthly,218.0,124.0,decrease
2017-03-31,USD CPI YOY,USD,monthly,2.7,2.4,decrease
2017-03-31,USD GDP QOQ,USD,quarterly,2.2,2.0,decrease
2017-03-31,USD PCE YOY,USD,monthly,2.2,1.9,decrease
2017-03-31,USD UNEMPLOYMENT,USD,monthly,4.6,4.4,decrease
2017-05-01,EUR CPI YOY,EUR,monthly,1.5,1.9,increase
2017-05-01,EUR UNEMPLOYMENT,EUR,monthly,9.4,9.3,decrease
2017-05-01,NFP CHANGE,USD,monthly,124.0,205.0,increase
2017-05-01,USD CPI YOY,USD,monthly,2.4,2.2,decrease
2017-05-01,USD PCE YOY,USD,monthly,1.9,1.8,decrease
2017-05-31,EUR CPI YOY,EUR,monthly,1.9,1.4,decrease
2017-05-31,EUR UNEMPLOYMENT,EUR,monthly,9.3,9.2,decrease
2017-05-31,USD CPI YOY,USD,monthly,2.2,1.9,decrease
2017-05-31,USD PCE YOY,USD,monthly,1.8,1.6,decrease
2017-06-14,FED FUNDS TARGET,USD,decision,1.0,1.25,increase
2017-06-30,EUR CPI YOY,EUR,monthly,1.4,1.3,decrease
2017-06-30,EUR UNEMPLOYMENT,EUR,monthly,9.2,9.1,decrease
2017-06-30,NFP CHANGE,USD,monthly,205.0,203.0,decrease
2017-06-30,USD CPI YOY,USD,monthly,1.9,1.6,decrease
2017-06-30,USD GDP QOQ,USD,quarterly,2.0,2.3,increase
2017-06-30,USD PCE YOY,USD,monthly,1.6,1.5,decrease
2017-06-30,USD UNEMPLOYMENT,USD,monthly,4.4,4.3,decrease
2017-07-31,EUR UNEMPLOYMENT,EUR,monthly,9.1,9.0,decrease
2017-07-31,NFP CHANGE,USD,monthly,203.0,189.0,decrease
2017-07-31,USD CPI YOY,USD,monthly,1.6,1.7,increase
2017-08-31,EUR CPI YOY,EUR,monthly,1.3,1.5,increase
2017-08-31,NFP CHANGE,USD,monthly,189.0,147.0,decrease
2017-08-31,USD CPI YOY,USD,monthly,1.7,1.9,increase
2017-08-31,USD PCE YOY,USD,monthly,1.5,1.6,increase
2017-08-31,USD UNEMPLOYMENT,USD,monthly,4.3,4.4,increase
2017-10-02,EUR CPI YOY,EUR,monthly,1.5,1.6,increase
2017-10-02,EUR UNEMPLOYMENT,EUR,monthly,9.0,8.9,decrease
2017-10-02,NFP CHANGE,USD,monthly,147.0,89.0,decrease
2017-10-02,USD CPI YOY,USD,monthly,1.9,2.2,increase
2017-10-02,USD GDP QOQ,USD,quarterly,2.3,3.2,increase
2017-10-02,USD PCE YOY,USD,monthly,1.6,1.8,increase
2017-10-02,USD UNEMPLOYMENT,USD,monthly,4.4,4.3,decrease
2017-10-31,EUR CPI YOY,EUR,monthly,1.6,1.4,decrease
2017-10-31,EUR UNEMPLOYMENT,EUR,monthly,8.9,8.8,decrease
2017-10-31,NFP CHANGE,USD,monthly,89.0,141.0,increase
2017-10-31,USD CPI YOY,USD,monthly,2.2,2.0,decrease
2017-10-31,USD PCE YOY,USD,monthly,1.8,1.7,decrease
2017-10-31,USD UNEMPLOYMENT,USD,monthly,4.3,4.2,decrease
2017-11-30,EUR CPI YOY,EUR,monthly,1.4,1.5,increase
2017-11-30,EUR UNEMPLOYMENT,EUR,monthly,8.8,8.7,decrease
2017-11-30,NFP CHANGE,USD,monthly,141.0,223.0,increase
2017-11-30,USD CPI YOY,USD,monthly,2.0,2.2,increase
2017-11-30,USD PCE YOY,USD,monthly,1.7,1.8,increase
2017-12-13,FED FUNDS TARGET,USD,decision,1.25,1.5,increase
2018-01-01,EUR CPI YOY,EUR,monthly,1.5,1.3,decrease
2018-01-01,NFP CHANGE,USD,monthly,223.0,151.0,decrease
2018-01-01,USD CPI YOY,USD,monthly,2.2,2.1,decrease
2018-01-01,USD GDP QOQ,USD,quarterly,3.2,4.6,increase
2018-01-01,USD UNEMPLOYMENT,USD,monthly,4.2,4.1,decrease
2018-01-31,NFP CHANGE,USD,monthly,151.0,137.0,decrease
2018-01-31,USD UNEMPLOYMENT,USD,monthly,4.1,4.0,decrease
2018-02-28,EUR CPI YOY,EUR,monthly,1.3,1.1,decrease
2018-02-28,EUR UNEMPLOYMENT,EUR,monthly,8.7,8.6,decrease
2018-02-28,NFP CHANGE,USD,monthly,137.0,394.0,increase
2018-02-28,USD CPI YOY,USD,monthly,2.1,2.2,increase
2018-02-28,USD UNEMPLOYMENT,USD,monthly,4.0,4.1,increase
2018-03-21,FED FUNDS TARGET,USD,decision,1.5,1.75,increase
2018-04-02,EUR CPI YOY,EUR,monthly,1.1,1.4,increase
2018-04-02,EUR UNEMPLOYMENT,EUR,monthly,8.6,8.5,decrease
2018-04-02,NFP CHANGE,USD,monthly,394.0,226.0,decrease
2018-04-02,USD CPI YOY,USD,monthly,2.2,2.4,increase
2018-04-02,USD GDP QOQ,USD,quarterly,4.6,3.3,decrease
2018-04-02,USD PCE YOY,USD,monthly,1.8,2.0,increase
2018-04-02,USD UNEMPLOYMENT,USD,monthly,4.1,4.0,decrease
2018-04-30,EUR CPI YOY,EUR,monthly,1.4,1.2,decrease
