event,time,tWick15,body15,bWick15,tWick14,body14,bWick14,tWick13,body13,bWick13,tWick12,body12,bWick12,tWick11,body11,bWick11,tWick10,body10,bWick10,tWick9,body9,bWick9,tWick8,body8,bWick8,tWick7,body7,bWick7,tWick6,body6,bWick6,tWick5,body5,bWick5,tWick4,body4,bWick4,tWick3,body3,bWick3,tWick2,body2,bWick2,tWick1,body1,bWick1,target,targetSimple,target1,target2
ZEW Survey – Economic Sentiment,2007.02.13 13:00,10,0,10,0,-20,0,0,-10,10,0,10,0,0,-10,10,10,-10,0,0,30,0,10,0,0,0,0,0,0,0,0,0,-10,0,0,10,0,10,0,0,10,0,0,0,-40,0,N,N,N,N
Retail Sales,2007.02.14 16:30,10,-10,10,20,0,0,0,40,0,10,10,0,0,-10,10,10,20,0,20,-10,10,0,0,10,0,10,0,0,-20,0,10,20,0,10,0,10,0,10,0,20,0,0,0,-10,10,N,N,N,N
Consumer Price Index,2007.02.21 16:30,0,20,0,0,-10,10,0,20,0,0,-10,20,0,0,0,30,0,0,0,-30,0,0,-30,0,0,20,0,0,-30,0,0,0,10,0,-10,10,0,0,0,10,10,0,0,-20,0,N,N,N,N
Gross Domestic Product Annualized,2007.02.28 16:30,0,0,10,0,10,0,10,0,0,0,-30,10,10,-50,40,20,-20,10,10,-110,0,20,40,0,10,10,0,10,0,10,0,40,0,10,-20,20,10,10,20,20,20,0,10,-10,0,D|U,D,D|U,D|U
Core Personal Consumption Expenditures - Price Index,2007.03.01 16:30,0,10,0,0,-40,10,10,-10,10,10,-20,0,0,10,30,0,10,20,10,-20,0,40,10,0,20,-30,0,0,-10,30,20,0,0,10,-10,20,10,0,20,0,-60,0,20,0,10,D,D,D,D
ECB Main Refinancing Operations Rate,2007.03.08 14:45,10,0,0,0,20,0,10,10,0,50,-70,20,50,50,60,0,10,20,10,0,20,0,40,0,0,-10,30,0,-60,10,20,10,0,30,-10,10,10,20,0,0,-30,10,10,10,0,D,D,D,D
Average Hourly Earnings,2007.03.09 16:30,0,-20,0,10,-10,0,0,-10,0,0,20,0,0,-20,0,10,-30,0,0,0,10,0,0,10,0,20,0,0,10,10,0,10,0,0,10,0,0,20,0,0,10,0,0,-20,10,N,N,N,N
ZEW Survey – Economic Sentiment,2007.03.13 13:00,10,0,0,0,10,0,0,-10,0,0,-10,0,0,0,10,10,0,10,0,-10,0,0,0,0,0,0,10,0,-10,0,10,-10,10,10,-10,0,10,0,10,0,-10,0,0,10,10,N,N,N,N
Consumer Price Index,2007.03.16 15:30,0,-10,10,10,20,0,20,-10,0,0,-20,0,0,0,10,10,-10,10,0,-10,0,0,-20,0,0,-10,0,10,10,0,0,10,0,0,0,10,0,0,10,0,10,0,0,-20,0,N,N,N,N
IFO – Business Climate,2007.03.27 11:00,0,20,0,10,0,10,0,0,10,10,10,0,0,10,10,0,-10,20,0,10,0,10,0,10,10,0,0,10,10,0,0,-10,10,0,20,0,0,0,10,10,0,0,0,0,0,N,N,N,N
Core Personal Consumption Expenditures,2007.03.29 15:30,0,10,0,0,10,0,0,-10,0,0,0,0,10,-10,0,0,-30,10,0,0,20,0,20,0,10,-10,0,10,10,10,10,0,10,20,0,10,0,10,0,0,20,0,0,10,0,N,N,N,N
Core Personal Consumption Expenditures - Price Index,2007.03.30 15:30,0,10,0,0,-10,0,0,10,0,10,0,10,0,0,10,0,-10,0,0,0,0,0,-10,0,0,-20,0,10,0,10,0,0,0,0,-20,0,0,0,10,0,-10,10,0,0,0,N,N,N,N
ISM Manufacturing PMI,2007.04.02 17:00,10,0,0,10,10,0,10,10,0,10,0,10,0,10,0,0,-10,0,30,0,0,10,10,0,0,-20,10,10,-10,0,0,0,0,0,-10,10,0,10,0,10,20,0,10,20,0,N,N,N,N
Nonfarm Payrolls,2007.04.06 15:30,0,-10,0,10,10,0,0,0,0,0,10,10,0,20,10,0,20,0,10,0,20,0,20,0,0,-10,20,0,10,0,0,0,0,0,-20,10,10,-10,0,0,0,10,10,0,10,N,N,N,N
Retail Sales ex Autos,2007.04.16 15:30,10,10,0,0,0,10,0,20,0,0,-10,10,0,0,0,0,0,10,10,0,0,0,-10,0,10,-10,0,0,10,10,10,-20,0,0,-20,10,10,10,0,10,0,0,0,0,10,N,N,N,N
Consumer Price Index,2007.04.17 15:30,0,-20,10,10,10,0,10,-20,0,10,-10,0,10,20,10,0,10,10,0,10,10,0,-40,0,20,0,10,0,30,0,10,0,0,0,-10,0,0,30,0,10,20,0,10,0,10,N,N,N,N
Core Personal Consumption Expenditures - Price Index,2007.04.30 15:30,0,30,0,0,-20,0,10,10,0,0,0,0,10,20,0,0,-30,0,0,20,10,0,0,0,0,-10,0,10,10,0,0,-60,0,0,-10,10,0,20,0,10,10,0,0,0,10,N,N,N,N
Average Weekly Hours,2007.05.04 15:30,0,20,0,0,-20,10,0,10,0,0,-10,0,0,-10,10,10,20,10,0,0,0,0,10,0,0,20,0,10,10,20,0,20,0,0,50,0,20,30,0,0,10,10,0,-20,10,U,U,U,U
Fed Interest Rate Decision,2007.05.09 21:15,0,0,10,10,10,0,0,0,10,0,0,0,0,10,0,0,-10,10,0,-10,0,0,0,10,0,0,0,0,10,0,0,10,0,0,0,0,0,-20,10,0,-20,0,0,-10,10,N,N,N,N
