open,high,low,close,volume,datetime
1.14624,1.14638,1.14591,1.14603,856.0,2019-01-02 00:00:00
1.14616,1.14672,1.14552,1.14605,1821.0,2019-01-02 01:00:00
1.14605,1.1462,1.14538,1.14555,1509.0,2019-01-02 02:00:00
1.14555,1.14556,1.14452,1.14516,2328.0,2019-01-02 03:00:00
1.14516,1.14528,1.14421,1.14451,2482.0,2019-01-02 04:00:00
1.14451,1.14482,1.1444,1.14452,1029.0,2019-01-02 05:00:00
1.14451,1.14464,1.14422,1.14444,1337.0,2019-01-02 06:00:00
1.14444,1.14783,1.14444,1.14773,2903.0,2019-01-02 07:00:00
1.14773,1.14961,1.14763,1.14847,4066.0,2019-01-02 08:00:00
1.14846,1.14925,1.14732,1.1476,4891.0,2019-01-02 09:00:00
1.1476,1.14775,1.14282,1.14474,9232.0,2019-01-02 10:00:00
1.14474,1.14492,1.14217,1.14334,6892.0,2019-01-02 11:00:00
1.14335,1.14412,1.14314,1.14363,4874.0,2019-01-02 12:00:00
1.14363,1.14385,1.1424,1.14332,4378.0,2019-01-02 13:00:00
1.14333,1.14335,1.13972,1.14045,5093.0,2019-01-02 14:00:00
1.14043,1.1405,1.13668,1.13712,7842.0,2019-01-02 15:00:00
1.13711,1.13748,1.13575,1.13602,7857.0,2019-01-02 16:00:00
1.13603,1.13691,1.13413,1.13532,9552.0,2019-01-02 17:00:00
1.13531,1.13615,1.13481,1.13558,5501.0,2019-01-02 18:00:00
1.13558,1.13563,1.13307,1.13347,5558.0,2019-01-02 19:00:00
1.13346,1.13357,1.13258,1.13273,3757.0,2019-01-02 20:00:00
1.13273,1.13436,1.13244,1.13431,2974.0,2019-01-02 21:00:00
1.13434,1.1347,1.13398,1.1345,3253.0,2019-01-02 22:00:00
1.1345,1.13473,1.13395,1.13419,1578.0,2019-01-02 23:00:00
1.13442,1.13537,1.13073,1.13275,3325.0,2019-01-03 00:00:00
1.13227,1.13495,1.13083,1.13116,5290.0,2019-01-03 01:00:00
1.13116,1.13461,1.13092,1.13391,4444.0,2019-01-03 02:00:00
1.13391,1.13521,1.13391,1.13478,3652.0,2019-01-03 03:00:00
1.13479,1.13609,1.13455,1.13577,3018.0,2019-01-03 04:00:00
1.13576,1.13709,1.13563,1.13642,2746.0,2019-01-03 05:00:00
1.13642,1.13673,1.13598,1.13667,1659.0,2019-01-03 06:00:00
1.13667,1.13692,1.13564,1.13603,3292.0,2019-01-03 07:00:00
